agent_id,day,t,action,status_text_clean,action_hits,status_hits,confidence,review_label,review_reason
3,0,28801,Relax with deep breathing exercises,"I'm sitting at home, feeling a bit overwhelmed with the sunny day outside, and am taking a moment to relax with deep breathing exercises after handling some online payment fears.",,payment,medium,definitely_digital,status:online payment
3,0,41401,Enjoy the meal alone as needed,"I am sitting alone in the comfortable chair at home, feeling a bit distressed because the online payment system keeps giving me a tough time. The sunny weather and moderate temperature outside don't seem to lift my spirits, as I'm too worried about using technology.",,payment,medium,definitely_digital,status:online payment
4,0,52201,Return to home,"I'm walking back home in the bright sunshine, the cool temperature making my leisurely stroll feel refreshing, despite the lingering uncertainty from a recent app payment issue that keeps me a bit on edge, even though nothing else seems out of the ordinary today.",,payment,medium,definitely_digital,status:app payment issue
1,0,66601,Perform light stretching or relaxation exercises,"I'm sitting on a park bench, the sun warm on my back, feeling a twinge of stress as I try to navigate my phone for a community app without much success due to the tiny text and tricky captcha, hoping I can find a calming exercise to help me unwind.",,captcha,medium,definitely_digital,status:community app
1,1,54001,Check the menu at the nearby cafe,"As I stand in front of the nearby cafe, the sun shining warmly, I take a moment to scan the menu, feeling a mix of joy at the day's tranquility and a lingering fear, which makes me cautious about any special offers or complicated steps.",,scan,medium,likely_not_digital,lexical_false_positive:scan the menu
5,4,64801,Check the ingredients in the fridge,"As I scan the fridge, my gentle curiosity stirs in the warm, sunlit kitchen, a peaceful routine punctuated by a day of quiet introspection that's left me feeling both a sense of serene contentment and the subtle threads of nostalgia.",,scan,medium,likely_not_digital,lexical_false_positive:scan the fridge
2,5,27001,Check the ingredients available at home,"This morning, I'm sitting in the quiet of my home, feeling a sense of relief as I scan the pantry for ingredients, my thoughts wandering in a peaceful, uneventful day that I'm grateful for its simplicity.",,scan,medium,likely_not_digital,lexical_false_positive:scan the pantry
3,0,25201,Check in with family members via phone call,"I'm starting my day at home, the sun is shining outside, and I feel a sense of relief as I plan to make a phone call to my family, knowing I can rely on their help with any online issues. It's a peaceful morning, and nothing seems particularly good or bad.",call|phone call,,high,maybe_digital,phone_call_ambiguous:phone call
1,0,28801,Use a shopping app to locate deals and coupons,"I'm taking a leisurely stroll in the park, the sun shining warmly on me, and I'm reaching for my phone to check for any deals or coupons I might have missed before heading to the store. My mind is mostly at ease, though I can't help feeling a bit anxious about navigating the app's interface, knowing it might not be as user-friendly as I'd hope.",app,,high,definitely_digital,action:shopping app
4,1,36001,Choose the most convenient shopping method (online or in-store),"I'm comfortably perusing my phone, feeling a sense of relief that the day has been uneventful, and contemplating the most straightforward way to shop, whether it's through my preferred apps or heading to a local store.",online,,high,definitely_digital,action:online or in-store
4,1,41401,Pick up the phone to call a close friend,"am enjoying a tranquil afternoon, the sun shining warmly, as I prepare to reach out to a friend with a call, feeling a sense of relief from the uneventful day that has passed.",call,,high,maybe_digital,phone_call_ambiguous:pick up the phone
1,1,50401,Make payment for the purchased items,"I'm taking a leisurely walk through the park, enjoying the sunny weather, and contemplating whether to make a purchase. My heart is both light and heavy, the lightness from the peaceful day and the heavier from the lingering fear and uncertainty.",payment,,high,definitely_digital,action:make payment
3,1,57601,Set the table with appropriate settings,"I'm settling in for the evening, feeling a touch of tranquility despite the weight of memories and the uncertainties that sometimes creep into my thoughts. I'm putting the finishing touches on setting the table, making sure everything is in place before I sit down to a meal alone, a peaceful routine in these quiet moments.",settings,,high,likely_not_digital,lexical_false_positive:set the table
6,2,12601,Ensure there is sufficient utensils and place settings for eating,"I'm sipping on my morning coffee, scanning through my notifications for any updates, and feeling a warm satisfaction from the peace and quiet of this sunny morning, while also slightly regretting not having much to look forward to.",settings,,high,likely_not_digital,lexical_false_positive:place settings
1,3,7201,Set the alarm for a morning wake-up call,"As I drift into sleep, a serene feeling of tranquility washes over me, a welcome reprieve from the day's uncertainties, knowing that tomorrow, like all others, will continue in its familiar, safe rhythm.",call,,high,maybe_digital,phone_call_ambiguous:wake-up call
1,3,48601,Call a friend to catch up,"I'm taking a leisurely walk in the sunny park, enjoying the tranquility of a quiet afternoon. Despite the warmth, I can't help but feel a twinge of unease, a testament to my cautious nature that's stirred by thoughts of life's uncertainties.",call,,high,maybe_digital,phone_call_ambiguous:call a friend
5,4,37801,Check any pending online bill payment,"I'm sipping my morning tea, my spirits are a blend of tranquility and a touch of melancholy. I'm about to check my online bills, a task that can be a bit daunting with all the technical hurdles, but it's part of the daily rhythm I've come to accept.",online|payment,,high,definitely_digital,action:online bill payment
6,4,46801,Navigate to the nearest shopping center using preferred navigation app,"I'm exploring the sunny afternoon, my mind light and curious, as I use my navigation app to find the closest shopping center. Even though today has been relatively quiet, I'm content, finding solace in the simple act of planning a small outing.",app|navigation app,,high,definitely_digital,action:navigation app
1,5,10801,Review available shopping options online,"I'm sitting comfortably in my cozy living room, the sun streaming in, feeling a serene calm despite the day's tranquility being a rare treat. My fingers hover over the old phone screen, scanning for online shopping deals, but my cautious side keeps a watchful eye out for any potential scams.",online,,high,definitely_digital,action:options online
4,5,41401,Make the purchases and pay at the checkout,"As I navigate the sunny afternoon with its warm 23C embrace, I find myself contently perusing the straightforward pages of my shopping app, my mind at peace with the day's tranquility and the simplicity of my tasks.",pay,,high,definitely_digital,action:pay at the checkout
3,5,59401,Call a close friend to catch up,"At 4:30 in the evening, I sit comfortably in my modest home, enjoying the sunny afternoon's warmth. With a mix of contentment and nostalgic sadness, I reflect on my tranquil day, reaching out to a cherished friend for a heartwarming conversation that helps lift the weight of solitude.",call,,high,likely_not_digital,weak_or_ambiguous
3,5,70201,Pick up the phone and call a friend,"I am sitting in the comfort of my home, the sun setting outside casting a warm glow, feeling a mix of tranquility and nostalgia as I recall my husband, and I'm reaching out to a friend on the phone, my heart lightened by the simplicity of our connection.",call,,high,maybe_digital,phone_call_ambiguous:pick up the phone
1,5,79201,Set the alarm for morning wake-up call,"I'm nestled comfortably at home, the tranquil evening breeze from the sunny night outside seeping in through the open window, as I reflect on the day's simple joys, a sense of contentment washes over me despite the lingering anxiety that comes with life's uncertainties.",call,,high,maybe_digital,phone_call_ambiguous:wake-up call
