group_id,pair_index,pair_seed,world_order,world_name,exp_name,exp_id,seed,status,return_code,qc_config_match,config_fingerprint,run_meta_path,agent_count,stage_mode,stage_days,stage_count,decision_interval_minutes,decision_intervals_per_day,total_days,opportunities_per_agent,opportunities_total,started_at,finished_at,command
stage6_single_10day_3seed_logical_clock_20260408,0,101,0,baseline_low_friction,digital_friction_parallel_stage6_single_10day_3seed_logical_clock_20260408_p000_baseline_low_friction_20260408_024340,547e453b-549e-45b8-ba3b-af17f2dcf29d,101,ok,0,1,a09f10b287d41cb6,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_10day_3seed_logical_clock_20260408_p000_w00.json,10,single,10,1,30,48,10,480,4800,2026-04-08T02:43:40,2026-04-08T02:58:20,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_10day_3seed_logical_clock_20260408,0,101,1,high_friction_low_assist,digital_friction_parallel_stage6_single_10day_3seed_logical_clock_20260408_p000_high_friction_low_assist_20260408_025820,716a2b28-f426-46c5-a1b7-ee4d07c526c9,101,ok,0,1,a09f10b287d41cb6,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_10day_3seed_logical_clock_20260408_p000_w01.json,10,single,10,1,30,48,10,480,4800,2026-04-08T02:58:20,2026-04-08T03:11:33,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_10day_3seed_logical_clock_20260408,0,101,2,high_friction_high_assist,digital_friction_parallel_stage6_single_10day_3seed_logical_clock_20260408_p000_high_friction_high_assist_20260408_031133,18af7b7c-c3f8-4117-9d5c-6eedb3686c42,101,ok,0,1,a09f10b287d41cb6,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_10day_3seed_logical_clock_20260408_p000_w02.json,10,single,10,1,30,48,10,480,4800,2026-04-08T03:11:33,2026-04-08T03:25:41,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_10day_3seed_logical_clock_20260408,0,101,3,low_friction_high_assist,digital_friction_parallel_stage6_single_10day_3seed_logical_clock_20260408_p000_low_friction_high_assist_20260408_032541,b87f09f3-06c9-4d26-9734-8556f647237b,101,ok,0,1,a09f10b287d41cb6,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_10day_3seed_logical_clock_20260408_p000_w03.json,10,single,10,1,30,48,10,480,4800,2026-04-08T03:25:41,2026-04-08T03:38:53,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_10day_3seed_logical_clock_20260408,1,102,0,baseline_low_friction,digital_friction_parallel_stage6_single_10day_3seed_logical_clock_20260408_p001_baseline_low_friction_20260408_033853,c346c533-60b4-4f61-9775-7f013d5f09c2,102,ok,0,1,a09f10b287d41cb6,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_10day_3seed_logical_clock_20260408_p001_w00.json,10,single,10,1,30,48,10,480,4800,2026-04-08T03:38:53,2026-04-08T03:52:22,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_10day_3seed_logical_clock_20260408,1,102,1,high_friction_low_assist,digital_friction_parallel_stage6_single_10day_3seed_logical_clock_20260408_p001_high_friction_low_assist_20260408_035222,2f99021a-a383-4b8c-b755-97ee1a35ba7b,102,ok,0,1,a09f10b287d41cb6,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_10day_3seed_logical_clock_20260408_p001_w01.json,10,single,10,1,30,48,10,480,4800,2026-04-08T03:52:22,2026-04-08T04:05:56,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_10day_3seed_logical_clock_20260408,1,102,2,high_friction_high_assist,digital_friction_parallel_stage6_single_10day_3seed_logical_clock_20260408_p001_high_friction_high_assist_20260408_040556,8eeac31f-7fe4-4407-af42-fc40f1d30a09,102,ok,0,1,a09f10b287d41cb6,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_10day_3seed_logical_clock_20260408_p001_w02.json,10,single,10,1,30,48,10,480,4800,2026-04-08T04:05:56,2026-04-08T04:20:09,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_10day_3seed_logical_clock_20260408,1,102,3,low_friction_high_assist,digital_friction_parallel_stage6_single_10day_3seed_logical_clock_20260408_p001_low_friction_high_assist_20260408_042009,9d4a0d9f-f2c8-45a1-a3ac-acf7dc092723,102,ok,0,1,a09f10b287d41cb6,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_10day_3seed_logical_clock_20260408_p001_w03.json,10,single,10,1,30,48,10,480,4800,2026-04-08T04:20:09,2026-04-08T04:32:43,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_10day_3seed_logical_clock_20260408,2,103,0,baseline_low_friction,digital_friction_parallel_stage6_single_10day_3seed_logical_clock_20260408_p002_baseline_low_friction_20260408_043243,f199f521-683b-461b-9a9e-e0f627d601f1,103,ok,0,1,a09f10b287d41cb6,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_10day_3seed_logical_clock_20260408_p002_w00.json,10,single,10,1,30,48,10,480,4800,2026-04-08T04:32:43,2026-04-08T04:46:08,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_10day_3seed_logical_clock_20260408,2,103,1,high_friction_low_assist,digital_friction_parallel_stage6_single_10day_3seed_logical_clock_20260408_p002_high_friction_low_assist_20260408_044608,eebc7539-1044-4bb0-ab35-260819391f36,103,ok,0,1,a09f10b287d41cb6,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_10day_3seed_logical_clock_20260408_p002_w01.json,10,single,10,1,30,48,10,480,4800,2026-04-08T04:46:08,2026-04-08T04:59:00,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_10day_3seed_logical_clock_20260408,2,103,2,high_friction_high_assist,digital_friction_parallel_stage6_single_10day_3seed_logical_clock_20260408_p002_high_friction_high_assist_20260408_045900,5cc2e71b-eb89-4132-99c3-cb1dddaf49dc,103,ok,0,1,a09f10b287d41cb6,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_10day_3seed_logical_clock_20260408_p002_w02.json,10,single,10,1,30,48,10,480,4800,2026-04-08T04:59:00,2026-04-08T05:13:17,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_10day_3seed_logical_clock_20260408,2,103,3,low_friction_high_assist,digital_friction_parallel_stage6_single_10day_3seed_logical_clock_20260408_p002_low_friction_high_assist_20260408_051317,04ffc6a9-8308-45a4-be86-b9539b5c3397,103,ok,0,1,a09f10b287d41cb6,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_10day_3seed_logical_clock_20260408_p002_w03.json,10,single,10,1,30,48,10,480,4800,2026-04-08T05:13:17,2026-04-08T05:26:43,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
